sn,Post Title,Author,Post Count,View Count,Time,Date,Section
91,OMG! See What Old Woman Is Doing To Teenage Boy In Private. Who Didn't See This?,mazechdotcom,31,19703,1:57pm,"Aug 10, 2017",EntertainmentDB
92,Wizkid Robbed In Lagos,khattab008,23,8387,1:58pm,"Aug 09, 2017",EntertainmentDB
93,Nollywood Is Vital To Nigerian Economy – Kemi Adeosun.,nex,5,1921,4:19pm,"Aug 01, 2017",EntertainmentDB
94,Woman Sets Her Private-Parts On Fire At A Dance Competition,Kolababe,136,84492,2:20am,"Jun 29, 2017",EntertainmentDB
95,Nigeria’s Booming Film Industry Redefines African Life - New York Times,anonymous6,108,14234,3:52pm,"Jun 24, 2017",EntertainmentDB
96,Sosoliso Plane Crash Survivor Kechi Okwuchi Sings At America's Got Talent 2017,fortifiedng,7,2441,3:41pm,"Jun 16, 2017",EntertainmentDB
97,"Meet Kechi Okwuchi,nigerian Air Crash Survivor At The 2017 America Got Talent...",Korrection,2,1729,12:16am,"Jun 16, 2017",EntertainmentDB
98,Please I Need An Acting/modeling Opportunity!,fsudoka,3,2068,9:58pm,"Jun 12, 2017",EntertainmentDB
99,Websites To Download nollywood And Ghana films Free,Dbluemoon,15,96790,3:58pm,"Jun 07, 2017",EntertainmentDB
100,"Film-makers Reject Dubbing Of Chinese Films Into Yoruba, Hausa",meglith,88,22531,3:44pm,"Jun 07, 2017",EntertainmentDB
101,"A University Graduate Who Strips & Clowns For Money At A Lagos Bar (Pics, Video)",RapportNaija,113,71254,4:31am,"Jun 03, 2017",EntertainmentDB
102,Top Social Media Networks That May Dominate 2017 (Modified),orbitame2011,46,4886,2:06pm,"May 31, 2017",EntertainmentDB
103,Forbes Lists Don Jazzy Richest Musician In Nigeria,jimino,4,3175,9:10am,"May 23, 2017",EntertainmentDB
104,PHOTOS: Meet German Bata Drummer Ayantunde Anselm Ramacher,247frolic,15,2224,6:09pm,"May 22, 2017",EntertainmentDB
105,Linda Ikeji Blog: What You Must Know Before Start Blogging,businessMODE,14,5004,11:20am,"May 19, 2017",EntertainmentDB
106,"How Married Man I Met On BBM Almost Killed Me With Drugged Drinks, Sex",kemioo77,19,13027,6:43pm,"May 12, 2017",EntertainmentDB
107,From Pretty White Fiancée To Gorgeous Black Albino Wife,banku,3,5049,12:46am,"May 09, 2017",EntertainmentDB
108,Photo: Cultural Dance Group In Abuja Dresses Young Boys Half Unclad For Dance,FlirtyKaren,15,6747,12:33am,"May 02, 2017",EntertainmentDB
109,The Magic Waist Of Turama Traditional Dance,ozinetbiz,0,1642,2:49am,"Apr 18, 2017",EntertainmentDB
110,"Lagos Bans Live Band At Beer Parlours, Restaurants",ijustdey,125,37348,10:09am,"Apr 15, 2017",EntertainmentDB
